"wage","female","age","educ","exper"
4.455555439,0,22,6,9
6.208333492,0,26,7,12
5.012499809,1,25,6,12
31.20624924,0,33,13,13
16.74374962,0,23,10,6
8.287500381,1,26,8,11
31.20624924,0,24,12,5
8.662500381,1,22,10,5
8.34375,0,56,8,41
8.34375,1,25,10,8
7.34375,0,24,0,17
8.34375,1,20,10,3
16.74374962,1,29,10,12
4.537499905,1,39,5,27
4.537499905,1,19,9,3
4.537499905,0,28,10,11
4.537499905,1,22,10,5
4.243750095,0,40,8,25
7.912499905,1,26,8,11
7.84375,0,54,10,37
8.34375,0,30,8,15
8.34375,1,34,8,19
7.84375,1,34,8,19
7.96875,1,46,6,33
7.71875,1,28,7,14
3.13953495,0,56,6,43
7.96875,1,21,7,7
8.662500381,0,31,10,14
8.34375,1,29,0,22
6.837500095,0,27,9,11
7.46875,0,23,9,7
7.96875,1,22,10,5
6.755952358,0,57,7,43
7.84375,1,26,10,9
7.96875,1,24,10,7
1.743749976,0,41,10,24
1.743749976,1,41,10,24
3.857954502,0,44,10,27
14.24374962,1,38,10,21
18.70624924,0,37,13,17
7.662499905,0,30,9,14
8.037500381,1,28,10,11
7.412499905,0,25,10,8
8.037500381,1,23,9,7
2.412499905,1,38,8,23
8.34375,1,30,5,18
8.34375,1,26,8,11
8.34375,1,23,10,6
6.162499905,0,37,12,18
9.395000458,0,34,11,16
7.703125,1,59,10,42
7.703125,0,29,12,10
5.65625,1,26,13,6
6.787499905,0,23,10,6
6.432291508,0,42,8,27
5,0,22,10,5
6.394999981,0,47,6,34
35.03749847,0,26,10,9
0.930000007,0,23,6,10
11.89000034,0,39,8,24
8.34375,0,40,1,32
5.65625,1,49,6,36
5.135416508,0,27,13,7
7.541666508,1,24,13,4
19.03750038,1,20,10,3
8.34375,0,29,10,12
3.229166746,0,23,10,6
0.604166687,0,24,10,7
5.65625,1,23,10,6
7.71875,1,30,10,13
16.74374962,0,60,10,43
15.9464283,0,38,13,18
8.662500381,1,32,12,13
16.74374962,1,25,13,5
8.037500381,1,44,5,32
13.77222252,0,25,10,8
8.125,1,30,10,13
13.953125,1,30,10,13
20.83333397,1,45,7,31
10.41666698,0,26,9,10
8.662500381,0,47,8,32
9.625,1,44,8,29
27.08124924,0,41,10,24
6.929999828,1,29,8,14
7.5,0,35,8,20
18.75,1,35,10,18
7.142857075,1,48,10,31
6.25,0,29,10,12
35.66428757,0,41,12,22
8.662500381,1,40,7,26
16.74374962,0,51,10,34
15.625,1,26,10,9
18.75,0,27,10,10
31.25,1,32,10,15
16.74374962,0,44,5,32
19.13571358,1,45,10,28
31.20624924,0,43,8,28
6.25,0,20,8,5
31.20624924,0,40,10,23
27.73888969,1,44,8,29
17.8571434,1,26,10,9
31.20624924,0,40,10,23
16.74374962,1,37,8,22
64.02500153,1,54,13,34
16.74374962,1,21,10,4
35.66428757,0,33,13,13
16.74374962,1,29,10,12
0.893750012,0,25,7,11
16.74374962,0,49,10,32
16.74374962,1,43,8,28
31.20624924,0,38,10,21
31.20624924,1,38,10,21
8.662500381,0,35,9,19
8.662500381,1,34,8,19
19.13571358,0,48,10,31
19.13571358,1,42,10,25
8.662500381,0,29,10,12
9.899999619,1,26,9,10
16.74374962,0,59,10,42
4.537499905,1,48,6,35
8.662500381,0,50,10,33
11.125,1,21,10,4
8.662500381,1,45,7,31
16.74374962,1,24,10,7
8.662500381,0,46,7,32
16.74374962,1,45,10,28
22.32500076,0,42,10,25
19.13571358,0,38,10,21
16.74374962,1,40,10,23
5.885869503,0,25,10,8
5.538043499,0,28,8,13
8.695652008,0,57,5,45
8.662500381,1,36,5,24
6.768750191,0,32,3,22
8.662500381,0,29,6,16
3.025000095,0,44,8,29
8.662500381,1,42,9,26
7.526785851,0,19,9,3
8.662500381,0,35,7,21
5.041666508,1,35,7,21
4.537499905,0,42,8,27
8.662500381,1,30,5,18
6.768750191,1,43,4,32
4.331250191,1,24,7,10
4.472826004,1,29,5,17
0.869565189,1,29,8,14
8.662500381,0,43,7,29
9.206250191,0,21,9,5
3.849999905,0,26,2,17
8.662500381,0,20,7,6
4.537499905,1,42,6,29
16.74374962,1,24,8,9
16.74374962,0,23,7,9
8.662500381,1,21,8,6
8.662500381,1,22,10,5
6.768750191,1,21,8,6
8.34375,0,34,9,18
8.662500381,0,24,10,7
8.662500381,1,25,9,9
5.418749809,0,42,5,30
8.662500381,0,38,6,25
8.662500381,1,37,8,22
4.537499905,1,23,10,6
4.0625,0,27,8,12
8.662500381,1,25,3,15
8.662500381,0,38,7,24
8.34375,1,37,7,23
8.34375,0,56,4,45
8.78125,0,28,10,11
4.537499905,1,30,9,14
