"id","year","animal","place","state","numAttacks","Duration","Affected"
189,2018,"Raccoon","Saugus","MA",1,0,0
190,2018,"Possum","Nashville","TN",1,0,3000
191,2018,"Squirrel","Kingston","NH",1,0,7
192,2018,"Bird","Bourne","MA",1,0,0
193,2018,"Bird","Bend","OR",1,0,11000
194,2018,"Animal","Louisville","KY",1,0,0
195,2018,"Animal","Missoula","MT",1,0,4000
196,2018,"Animal","Stratford",NA,1,0,8000
197,2018,"Snake","Homossa","FL",1,0,110
198,2018,"Squirrel","FAIRFIELD","CT",1,0,1100
199,2018,"Bird","Kelowna","BC",1,0,0
200,2018,"Bird","Auburn","CA",1,0,0
201,2018,"Raccoon","Knoxville","TN",1,120,44000
202,2018,"Squirrel","Kelowna","BC",1,180,5000
203,2018,"Squirrel","New Haven","IN",1,0,3400
204,2018,"Bird","Callaway","FL",1,0,4000
205,2018,"Squirrel","Vernon","NJ",1,40,1170
206,2018,"Squirrel","Bracebridge",NA,1,0,0
207,2018,"Squirrel","Morganton","NC",1,0,1
208,2018,"Squirrel","Hamilton","OH",1,0,0
209,2018,"Squirrel","Mooresville","NC",1,0,0
210,2018,"unknown","Hartford","CT",1,300,3000
211,2018,"Raccoon","Warren","KY",1,0,7345
212,2018,"Bobcat","PULASKI","TN",1,0,0
213,2018,"Beaver","PIPPA PASSES","KY",1,0,1100
214,2018,"Squirrel","Grand Haven","MI",1,18,3500
215,2018,"Snake","Bijnor",NA,1,0,0
216,2018,"Squirrel","Shelbyville","KY",1,0,800
217,2018,"Unknown","Chesterton","IN",1,0,1100
218,2018,"Bird",NA,NA,1,0,0
219,2018,"Squirrel",NA,"WI",1,0,0
220,2018,"Unknown","Ontario",NA,1,0,0
221,2018,"Squirrel","Lunenburg","MA",1,0,360
222,2018,"Squirrel","Lewiston","MN",1,0,0
223,2018,"Bird","Franklin","TN",1,0,0
224,2018,"Squirrel","Laurens","SC",1,60,0
225,2018,"Squirrel","Carbondale","IL",1,0,0
226,2018,"Unknown","Manitowoc","WI",1,0,0
227,2018,"Monkey","Bodakdev",NA,1,0,0
