"name","city","business_postal_code","inspection_date","risk_category","isViolation","highRisk"
"Fumi Curry","San Francisco","94110","10/31/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Godiva Chocolatier Inc.","San Francisco","94132","06/09/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Marina Pizza & Pasta","San Francisco","94123","01/30/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"The Halal Guys","San Francisco","94102","08/20/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Boba Guys, Inc.","San Francisco","94108","06/01/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Kasa Indian Eatery","San Francisco","94109","02/14/2018 12:00:00 AM",NA,FALSE,NA
"Holiday Inn - Golden Gateway","San Francisco","94109","10/14/2016 12:00:00 AM","Moderate Risk",TRUE,FALSE
"SRI THAI CUISINE","San Francisco","94122","08/14/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Tu Kim's Cafe","San Francisco","94109","04/25/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Tato","San Francisco","94124","10/03/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"NEW ERITREA RESTAURANT","San Francisco","94122","05/02/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"ARIZMENDI BAKERY","San Francisco","94122","09/26/2017 12:00:00 AM",NA,FALSE,NA
"Loving Hut Vegan Cuisine","San Francisco","94122","12/19/2017 12:00:00 AM",NA,FALSE,NA
"Town School For Boys","San Francisco","94115","03/01/2019 12:00:00 AM","High Risk",TRUE,TRUE
"Fly Trap","San Francisco","94107","04/19/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"5A5 Steak Lounge","San Francisco","94111","02/22/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"The Melt","San Francisco","94103","07/26/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Foundation Cafe","San Francisco","94108","05/07/2018 12:00:00 AM",NA,FALSE,NA
"Arashi Sushi House","San Francisco","94118","10/25/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"ANCHOR OYSTER BAR INC.","San Francisco","94114","12/05/2017 12:00:00 AM","High Risk",TRUE,TRUE
"Jamba Juice","San Francisco","94103","10/27/2016 12:00:00 AM","Low Risk",TRUE,FALSE
"New Jumbo Seafood Restaurant","San Francisco","94122","01/23/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Walgreens #1126","San Francisco","94103","10/24/2016 12:00:00 AM","Low Risk",TRUE,FALSE
"Darren's Cafe","San Francisco","94133","03/05/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"New Mings Restaurant","San Francisco","94105","02/16/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"J & E Restaurant","San Francisco","94110","01/25/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"SF NEWA","San Francisco","94102","02/06/2019 12:00:00 AM","Low Risk",TRUE,FALSE
